Timestamp,0. Are you currently employed in Berlin or by a Berlin-based organization?,1. Gender:,2. Age:,3. Highest vocational qualification attained:,4. Years of total work experience:,5. Citizenship,6. Type of organisation,7. Industry,"8. Company size (global, entire organisation)",9. Years in current company:,10. Job/Position title,11. Which best describes your role in your current company?,12. Years in current position:,13. Full-time / Part-time,14. Contract in hours per week,15. Total annual gross salary in EUR (before taxes and deductions),"16. Performance-related pay or bonuses (gross) in EUR - CAN SKIP IF ""0""","17. Total Annual Equity Compensation (stock options, ESOPs, etc.) in EUR - CAN SKIP IF ""0""",18. Salary raise since January 2023,19. ID,20. Contract in hours per week (Normalized)
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,Other-EU,A private firm,Technology/Software Development,11-50,Less than 1,Student / Growth,Individual Contributor (no direct reports),Less than 1,Full-time,40,25.000,na,0,No raise,106,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,6-10,Other-EU,A private firm,Finance & Insurance,501-1000,Less than 1,Identification Agent,Individual Contributor (no direct reports),Less than 1,Full-time,35,25.000,na,0,No raise,327,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,16-20,German,A private firm,Manufacturing,1-10,6-10,Operator,Individual Contributor (no direct reports),6-10,Part-time,24,25.000,na,0,No raise,740,24
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Bachelor's Degree,Less than 1,German,A private firm,Hospitality (Accommodation and Food Services),1000+,Less than 1,Bar Manager,Team Lead (manages small team),Less than 1,Full-time,40,26.000,100,0,No raise,166,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,1-2,German,A state-owned enterprise,"Utilities (Electricity, Gas, Steam, Air Conditioning Supply)",1000+,1-2,Junior Data Engineer,Individual Contributor (no direct reports),Less than 1,Part-time,"19,5",26.000,2.600,0,No raise,630,"19,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,50-54,No vocational qualification attained,16-20,Non-EU,A private firm,Other Services,1000+,11-15,Stellvertretender Shopleiter,Team Lead (manages small team),3-5,Full-time,33,26.000,na,0,No raise,731,33
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Bachelor's Degree,3-5,German,A private firm,Retail & Wholesale Trade,1000+,3-5,Area Responsible,Individual Contributor (no direct reports),3-5,Part-time,35,26.000,na,0,No raise,839,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,51-200,Less than 1,Content Manager,Individual Contributor (no direct reports),Less than 1,Part-time,30,28.000,na,0,No raise,406,30
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,German,A Non-governmental organization (NGO),"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,3-5,Consultant,Individual Contributor (no direct reports),3-5,Part-time,30,28.000,na,0,1-5%,609,30
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,11-15,Other-EU,A private firm,Construction,1-10,1-2,Senior Project Manager,Senior Manager/Director (manages departments),3-5,Full-time,40,28.000,7.000,0,No raise,927,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Trade and Technical School Certificate,6-10,German,A private firm,Retail & Wholesale Trade,1000+,1-2,Cashier / Team Lead,Team Lead (manages small team),1-2,Full-time,39,29.000,na,0,No raise,253,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,50-54,Apprenticeship/Vocational Training (Dual System),11-15,Non-EU,A private firm,Hospitality (Accommodation and Food Services),51-200,1-2,Host,Individual Contributor (no direct reports),1-2,Full-time,40,29.000,na,0,No raise,349,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,16-20,Other-EU,Other public sector (such as education and health),Education,1000+,1-2,Senior Music Technician,Team Lead (manages small team),Less than 1,Full-time,40,29.000,na,0,No raise,920,40
 06/2023  ,No.,Male,25-29,Master's Degree,3-5,Prefer not to say,A private firm,Technology/Software Development,1000+,1-2,DevOps Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,110.000,na,na,1-5%,36,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,24 or under,Master's Degree,3-5,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",201-500,1-2,Junior Analyst,Individual Contributor (no direct reports),1-2,Full-time,40,30.000,na,0,No raise,21,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Non-EU,A private firm,Manufacturing,11-50,1-2,Data Analyst,Individual Contributor (no direct reports),1-2,Contract/Freelance,20,30.000,na,0,No raise,85,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Apprenticeship/Vocational Training (Dual System),16-20,German,A private firm,Manufacturing,51-200,1-2,Chemikant,Individual Contributor (no direct reports),11-15,Full-time,40,30.000,na,0,1-5%,104,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,No vocational qualification attained,21-30,Other-EU,A private firm,Other Services,,1-2,Employee,Individual Contributor (no direct reports),1-2,Full-time,40,30.000,na,0,No raise,333,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,No vocational qualification attained,1-2,German,A private firm,Information & Communication,51-200,Less than 1,Office Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,30.000,na,0,No raise,373,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,Other-EU,A private firm,Healthcare and Pharmaceuticals,11-50,1-2,Junior Full Stack Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,30.000,na,0,No raise,484,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Non-EU,A private firm,Construction,1-10,1-2,Architect,Individual Contributor (no direct reports),1-2,Full-time,40,30.000,na,0,1-5%,619,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",501-1000,1-2,Sales Manager,Individual Contributor (no direct reports),1-2,Full-time,40,32.000,15.000,47.000,No raise,223,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Master's Degree,16-20,Non-EU,A private firm,Other Services,51-200,1-2,Sales Manager,Individual Contributor (no direct reports),1-2,Full-time,40,32.000,1.000,0,No raise,900,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,3-5,Other-EU,A private firm,Construction,1-10,3-5,Architect,Individual Contributor (no direct reports),3-5,Full-time,40,33.000,na,0,1-5%,420,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,1-2,German,A private firm,Construction,11-50,1-2,Architect Assistant,Individual Contributor (no direct reports),1-2,Full-time,37,33.000,na,0,No raise,957,37
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Bachelor's Degree,6-10,Dual (Ger/EU and Non-EU),A private firm,Real Estate,201-500,3-5,Project Assistant,Individual Contributor (no direct reports),3-5,Part-time,32,33.000,5.000,0,No raise,977,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Diploma,30+,Non-EU,A private firm,Other Services,201-500,3-5,Data Analyst,Individual Contributor (no direct reports),3-5,Full-time,40,33.000,na,0,1-5%,1011,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Dual (Ger/EU and EU),A private firm,Other Services,1000+,Less than 1,HR professional,Individual Contributor (no direct reports),1-2,Full-time,39,33.000,na,0,No raise,1033,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,55-59,Bachelor's Degree,30+,Dual (Ger/EU and Non-EU),A Non-governmental organization (NGO),Information & Communication,51-200,1-2,Büroassistent,Prefer not to say,1-2,Full-time,40,34.000,na,0,No raise,471,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Bachelor's Degree,11-15,Non-EU,A private firm,Technology/Software Development,11-50,Less than 1,Tech support,Individual Contributor (no direct reports),Less than 1,Full-time,40,34.000,na,0,No raise,781,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,Other-EU,Other public sector (such as education and health),Education,201-500,1-2,Doctoral researcher,Individual Contributor (no direct reports),Less than 1,Part-time,25,34.000,na,0,No raise,1016,25
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Prefer not to say,501-1000,3-5,Accounts receivable accountant,Individual Contributor (no direct reports),3-5,Full-time,40,35.000,2.880,4.500,1-5%,76,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,3-5,Non-EU,A Non-governmental organization (NGO),Information & Communication,11-50,3-5,Junior Software Engineer,Prefer not to say,3-5,Part-time,40,35.000,na,0,No raise,184,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,German,A private firm,Construction,1-10,Less than 1,Architektur-Verfahrensbetreuung,Individual Contributor (no direct reports),Less than 1,Full-time,32,35.000,na,0,No raise,522,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Doctor's Degree,16-20,German,Central or local government,Healthcare and Pharmaceuticals,1000+,11-15,Sachbearbeiterin,Individual Contributor (no direct reports),1-2,Part-time,25,35.000,na,0,1-5%,531,25
 06/2023  ,"Yes, I'm physically working in Berlin.",Non-Binary,35-39,Bachelor's Degree,11-15,Other-EU,A private firm,Information & Communication,201-500,Less than 1,Content Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,35.000,1.700,0,No raise,668,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Retail & Wholesale Trade,1-10,1-2,Marketing Manager,Manager (manages team),1-2,Full-time,40,35.000,10.000,0,No raise,701,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Bachelor's Degree,1-2,Non-EU,A private firm,Construction,1000+,1-2,Technical Drawer,Individual Contributor (no direct reports),1-2,Full-time,"38,5",35.000,1.500,0,No raise,743,"38,5"
 06/2023  ,No.,Male,25-29,Bachelor's Degree,3-5,Non-EU,Self-employed,Technology/Software Development,1-10,3-5,Co-Founder,Executive (executive leadership),3-5,Full-time,40,75.000,na,na,na,61,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,25-29,Bachelor's Degree,1-2,Non-EU,A private firm,Technology/Software Development,1-10,1-2,UX Researcher,Individual Contributor (no direct reports),1-2,Full-time,40,35.000,na,0,No raise,1017,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,3-5,Other-EU,A private firm,Retail & Wholesale Trade,,1-2,Junior Performance Marketeer,Individual Contributor (no direct reports),1-2,Full-time,40,35.000,na,0,No raise,1043,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,Other-EU,A private firm,Construction,1-10,3-5,Employee,Team Lead (manages small team),1-2,Full-time,36,36.000,2.400,0,6-10%,118,36
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,1-2,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,Less than 1,Junior Producer,Individual Contributor (no direct reports),Less than 1,Full-time,40,36.000,na,0,No raise,191,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Bachelor's Degree,21-30,German,A private firm,Healthcare and Pharmaceuticals,1-10,11-15,Fachwirt für zahnärztliches Praxismanagment,Senior Manager/Director (manages departments),6-10,Full-time,36,36.000,na,0,No raise,236,36
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Master's Degree,Less than 1,Non-EU,A private firm,Real Estate,51-200,Less than 1,Product Analyst,Team Lead (manages small team),Less than 1,Full-time,40,36.000,na,0,No raise,306,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Master's Degree,21-30,Non-EU,A private firm,Information & Communication,1000+,Less than 1,Senior Trainer,Individual Contributor (no direct reports),Less than 1,Full-time,40,36.000,1.000,0,No raise,329,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Other-EU,A private firm,Technology/Software Development,201-500,1-2,Sales Development,Individual Contributor (no direct reports),1-2,Full-time,40,36.000,2.000,0,No raise,397,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,Other-EU,A private firm,Hospitality (Accommodation and Food Services),501-1000,6-10,Manager,Manager (manages team),6-10,Part-time,35,36.000,na,0,No raise,552,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Bachelor's Degree,16-20,Other-EU,A private firm,Retail & Wholesale Trade,11-50,6-10,Accounts Payable Accountant,Individual Contributor (no direct reports),6-10,Full-time,40,36.000,na,0,1-5%,558,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Bachelor's Degree,Prefer not to say,Non-EU,Other,Other Services,201-500,Less than 1,Content Manager,Manager (manages team),Less than 1,Full-time,40,36.000,na,0,No raise,587,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,German,A private firm,Other Services,1000+,1-2,Customer Success Manager,Individual Contributor (no direct reports),1-2,Full-time,40,36.000,na,0,6-10%,718,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,1-2,Non-EU,A private firm,Information & Communication,51-200,1-2,Marketing Manager,Manager (manages team),1-2,Full-time,40,36.000,na,0,No raise,763,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,25-29,Master's Degree,3-5,Other-EU,A private firm,Technology/Software Development,51-200,1-2,Visual Designer,Individual Contributor (no direct reports),3-5,Full-time,"37,5",36.000,na,0,No raise,934,"37,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Doctor's Degree,6-10,Non-EU,Other,Technology/Software Development,51-200,3-5,Research scientist,Team Lead (manages small team),Less than 1,Part-time,24,36.000,na,0,1-5%,997,24
 06/2023  ,No.,Female,30-34,Bachelor's Degree,6-10,German,A Non-governmental organization (NGO),"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,Less than 1,Co-Founder,Executive (executive leadership),Less than 1,Part-time,34,84.000,na,na,No raise,77,34
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Trade and Technical School Certificate,21-30,German,A private firm,Information & Communication,11-50,3-5,Account Manager,Individual Contributor (no direct reports),3-5,Full-time,40,37.000,na,0,No raise,51,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Other Services,1000+,3-5,Quality Analyst,Team Lead (manages small team),1-2,Full-time,40,37.000,2.000,0,No raise,110,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Other Services,11-50,3-5,Lighting designer,Individual Contributor (no direct reports),3-5,Full-time,"37,5",37.000,na,0,No raise,431,"37,5"
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Master's Degree,3-5,Other-EU,A private firm,Education,51-200,1-2,Media Designer,Individual Contributor (no direct reports),1-2,Full-time,40,38.000,1.000,0,No raise,194,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,Other-EU,A private firm,Healthcare and Pharmaceuticals,201-500,1-2,Research Associate,Individual Contributor (no direct reports),1-2,Full-time,40,38.000,3.500,0,1-5%,440,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,Other-EU,A private firm,Other Services,201-500,Less than 1,Interim Team Lead,Team Lead (manages small team),Less than 1,Full-time,40,38.000,na,0,1-5%,607,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,24 or under,Bachelor's Degree,1-2,Non-EU,A Non-governmental organization (NGO),Construction,201-500,3-5,Frontend Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,38.000,na,0,6-10%,614,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Bachelor's Degree,11-15,Other-EU,A private firm,Retail & Wholesale Trade,1000+,3-5,Business analyst,Individual Contributor (no direct reports),1-2,Full-time,40,38.000,na,0,Prefer not to say,733,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,50-54,Master's Degree,21-30,German,A private firm,Technology/Software Development,201-500,1-2,Office Manager,Individual Contributor (no direct reports),1-2,Full-time,"37,5",38.000,na,0,No raise,925,"37,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Other-EU,A private firm,Information & Communication,1000+,3-5,Sales Team Leader,Team Lead (manages small team),1-2,Full-time,40,39.000,9.750,0,No raise,16,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,55-59,Diploma,21-30,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,3-5,Verwaltungsleiter,Individual Contributor (no direct reports),3-5,Part-time,32,39.000,4.000,0,No raise,86,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Apprenticeship/Vocational Training (Dual System),11-15,German,A private firm,Retail & Wholesale Trade,1000+,6-10,Filialleiter,Manager (manages team),1-2,Full-time,37,39.000,4.000,0,1-5%,209,37
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,50-54,Doctor's Degree,11-15,German,A private firm,Healthcare and Pharmaceuticals,11-50,1-2,Marketing Manager,Team Lead (manages small team),1-2,Full-time,40,39.000,1.000,0,No raise,217,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Diploma,3-5,German,Central or local government,Public Administration,1000+,6-10,Steueroberinspektor,Individual Contributor (no direct reports),Less than 1,Full-time,40,39.000,na,0,No raise,466,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Diploma,21-30,Dual (Ger/EU and Non-EU),A private firm,Real Estate,1-10,3-5,Immobilienverwalter,Individual Contributor (no direct reports),3-5,Part-time,32,39.000,na,0,No raise,583,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,24 or under,Bachelor's Degree,3-5,German,Central or local government,Public Administration,1000+,3-5,Bundesamtsfrau,Individual Contributor (no direct reports),1-2,Full-time,41,39.000,na,0,No raise,911,41
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,Other Services,51-200,1-2,Product Owner,Individual Contributor (no direct reports),1-2,Full-time,40,40.000,na,0,No raise,52,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Master's Degree,11-15,Other-EU,A private firm,Finance & Insurance,11-50,1-2,Office Manager,Individual Contributor (no direct reports),1-2,Full-time,40,40.000,na,0,No raise,155,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,3-5,German,A private firm,Construction,501-1000,Less than 1,Junior Team Lead,Team Lead (manages small team),Less than 1,Full-time,40,40.000,na,0,No raise,359,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,No vocational qualification attained,11-15,German,A private firm,Technology/Software Development,201-500,6-10,IT Purchasing Coordinator,Individual Contributor (no direct reports),3-5,Full-time,40,40.000,na,0,No raise,389,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,German,A private firm,Technology/Software Development,11-50,Less than 1,Copywriter,Individual Contributor (no direct reports),Less than 1,Full-time,32,40.000,na,0,No raise,403,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Other-EU,A private firm,Technology/Software Development,201-500,1-2,Careers Lead,Team Lead (manages small team),3-5,Full-time,40,40.000,na,0,No raise,417,40
 06/2023  ,No.,Female,50-54,Doctor's Degree,21-30,Dual (Ger/EU and Non-EU),Other public sector (such as education and health),Education,1000+,11-15,Research scientist,Individual Contributor (no direct reports),6-10,Full-time,35,36.000,na,na,No raise,100,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Trade and Technical School Certificate,6-10,German,Other public sector (such as education and health),Healthcare and Pharmaceuticals,1000+,6-10,Notfallsanitäter,Individual Contributor (no direct reports),Less than 1,Full-time,40,40.000,3.000,0,No raise,528,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Bachelor's Degree,16-20,Non-EU,A private firm,Retail & Wholesale Trade,501-1000,Less than 1,Recipe Developer,Individual Contributor (no direct reports),Less than 1,Full-time,40,40.000,na,0,No raise,879,40
 06/2023  ,No.,Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,Prefer not to say,1-2,Senior Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,110.000,na,20.000,1-5%,103,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,11-15,Other-EU,A private firm,Other Services,201-500,1-2,Data Analyst,Team Lead (manages small team),1-2,Part-time,32,40.000,na,0,No raise,937,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,A private firm,Education,501-1000,1-2,Marketing Manager,Manager (manages team),1-2,Full-time,40,40.000,4.000,0,1-5%,976,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",501-1000,Less than 1,Team Lead Customer Success,Team Lead (manages small team),Less than 1,Full-time,40,41.000,12.000,0,No raise,195,40
